id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.180729,23887881148,11,,1616728678.0,0.181465,0.160406,0.01881495,11.62035,2424184178.0,11.29435,132426963311.491,,,0.731578,-75.34298,2021-05-08T05:08:23.458Z,8.69e-05,207469.07777,2015-05-06T00:00:00.000Z,,2021-12-07T10:45:16.826Z,-0.16362980063367424,11.620345356292464,,,
avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,93.93,22752412462,12,67474963052.0,1470818026.0,96.29,77.54,15.42,19.63933,3635751828.0,19.01876,242782451.914233,377752194.4695483,720000000.0,144.96,-35.28478,2021-11-21T14:18:56.538Z,2.8,3249.15465,2020-12-31T13:15:21.540Z,,2021-12-07T10:45:10.168Z,-0.9949860022359388,19.639326330143017,,,
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,3.821e-05,20904714889,13,,2186066405.0,3.856e-05,3.334e-05,4.61e-06,13.70562,2503183608.0,13.60313,549151396083392.9,1000000000000000.0,,8.616e-05,-55.81729,2021-10-28T03:54:55.568Z,5.6e-11,67535340.0088,2020-11-28T11:26:25.838Z,,2021-12-07T10:45:58.914Z,0.05148170437221416,13.705616092005895,,,
crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.654876,16538964308,14,,693105966.0,0.655666,0.512115,0.135758,26.15172,3286947090.0,24.80337,25263013692.0,30263013692.0,,0.965407,-32.18705,2021-11-24T15:53:54.855Z,0.0121196,5301.75583,2019-02-08T00:00:00.000Z,,2021-12-07T10:45:53.586Z,0.6169357460803193,26.151724989361185,,,
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,2.31,15862037527,15,23079137230.0,4403992699.0,2.42,1.74,0.536627,30.1978,3681235200.0,30.22162,6872890164.27,10000000000.0,10000000000.0,2.62,-11.93672,2021-05-18T19:38:18.813Z,0.00314376,73303.59269,2019-05-10T00:00:00.000Z,,2021-12-07T10:46:13.960Z,-0.8063415950625563,30.197804228599384,878.7209387476547,usd,87872.09387476547
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,13356942018,16,,6185068163.0,1.01,0.993926,-0.000158788371,-0.01587,-203483419.3330288,-1.50057,13352139798.84,13352139798.84,,1.15,-13.31529,2020-03-13T02:35:42.953Z,0.901127,11.02966,2021-05-19T13:04:37.445Z,,2021-12-07T10:44:47.116Z,0.16490218332973597,-0.015865993027053802,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,51276.0,13153659722,17,13153659722.0,452173595.0,51426.0,47378.0,3796.14,7.99528,977878158.0,8.03134,256689.84405604,256689.84405604,256689.84405604,70643.0,-27.46188,2021-11-10T14:40:19.650Z,3139.17,1532.38513,2019-04-02T00:00:00.000Z,,2021-12-07T10:45:38.507Z,-0.24511521653932228,7.995281128333266,,,
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.78,11214782923,18,17786605235.0,535617690.0,1.8,1.62,0.102682,6.11773,633283429.0,5.98482,6305184589.71304,6754515580.40258,10000000000.0,3.56,-49.99946,2019-06-20T14:51:19.480Z,0.105336,1590.40461,2020-03-13T02:20:48.438Z,,2021-12-07T10:46:14.700Z,-0.4099292121030136,6.117731198913811,-0.2578720786893617,usd,-25.787207868936168
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,161.17,11096691378,19,13482520341.0,1485665120.0,164.09,141.95,17.99,12.5636,1214569068.0,12.29057,69135595.7334713,84000000.0,84000000.0,410.26,-60.87723,2021-05-10T03:13:07.904Z,1.15,13871.01918,2015-01-14T00:00:00.000Z,,2021-12-07T10:46:06.116Z,0.23955839912146873,12.563603783824885,,,
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,20.06,9348749384,20,20018325761.0,1084782523.0,20.19,17.35,2.48,14.12032,1148946159.0,14.01187,467009553.9174637,1000000000.0,1000000000.0,52.7,-62.01196,2021-05-10T00:13:57.214Z,0.148183,13409.22789,2017-11-29T00:00:00.000Z,,2021-12-07T10:45:33.946Z,-0.1417589638673091,14.120319343077748,,,
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.090973,9257017858,21,,1978256870.0,0.091614,0.079503,0.0108847,13.59082,1100666990.0,13.4946,101895989759.282,101900409184.273,,0.231673,-60.75784,2018-01-05T00:00:00.000Z,0.00180434,4938.59048,2017-11-12T00:00:00.000Z,,2021-12-07T10:44:25.253Z,-0.16122307785396137,13.590816365646639,46.880713657723945,usd,4688.0713657723945
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/4943.png?1636636734,0.999606,8943077415,22,8943077415.0,798608870.0,1.01,0.995236,0.00064592,0.06466,92890398.0,1.04959,8948639309.28298,8948639309.28298,8948639309.28298,1.22,-18.01186,2020-03-13T03:02:50.373Z,0.903243,10.64336,2019-11-25T00:04:18.137Z,,2021-12-07T10:43:20.870Z,-0.06556639893714866,0.06465919242747348,,,
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,471.66,8913899052,23,9893532549.0,2391859801.0,479.53,428.75,40.67,9.4359,772659228.0,9.49068,18920631.1466527,21000000.0,21000000.0,3785.82,-87.55565,2017-12-20T00:00:00.000Z,76.93,512.3635,2018-12-16T00:00:00.000Z,,2021-12-07T10:44:37.559Z,0.1977365298840108,9.435903825082764,,,
terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,8289474390,24,,225499242.0,1.02,0.995597,0.00045199,0.04512,92296279.0,1.12595,8277684400.51931,8277454905.96791,,1.09,-8.28666,2021-01-11T22:30:57.984Z,0.857992,16.71721,2021-05-19T13:14:26.898Z,,2021-12-07T10:45:56.901Z,0.15901414095079006,0.045122998922843285,,,
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,17.54,7935108735,25,17518230013.0,290357925.0,17.6,15.26,2.1,13.57714,951749343.0,13.62882,452962926.5555916,1000000000.0,1000000000.0,44.92,-60.96934,2021-05-03T05:25:04.822Z,1.03,1601.83581,2020-09-17T01:20:38.214Z,,2021-12-07T10:45:19.780Z,-0.12618877268282586,13.577144805643595,,,
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.29331,7212427362,26,14643915661.0,805393847.0,0.299466,0.249327,0.0423904,16.89402,1038679188.0,16.82413,24626908321.1086,50001802494.5721,50001802494.5721,0.875563,-66.55092,2018-01-03T00:00:00.000Z,0.00047612,61410.8941,2015-03-05T00:00:00.000Z,,2021-12-07T10:44:17.238Z,-0.14213068979050056,16.894022862779238,,,
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,108.96,7169630442,27,29388547969.0,415487419.0,109.37,95.9,9.62,9.68687,558306757.0,8.4447,65869202.56360951,270000000.0,270000000.0,164.9,-33.94133,2021-11-06T19:29:29.482Z,0.123718,87946.29107,2020-11-06T08:05:43.662Z,,2021-12-07T10:44:19.167Z,0.2251220059670744,9.686872183409147,,,
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,27.16,7138474759,28,,925219453.0,27.51,23.92,2.34,9.41666,647594338.0,9.97699,262680011.32,300000000.0,,44.01,-38.24482,2021-05-03T01:03:16.108Z,0.580608,4580.53383,2019-01-14T00:00:00.000Z,,2021-12-07T10:44:52.277Z,-0.5086198732944878,9.416664749141843,,,
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,24.91,7057083740,29,,710990474.0,25.26,22.22,2.44,10.84825,666558148.0,10.43041,283595899.867567,,,44.42,-43.97886,2021-09-20T00:05:25.062Z,1.16,2045.10318,2020-03-13T02:27:44.591Z,,2021-12-07T10:45:14.010Z,-0.8028949598655151,10.848250691360644,248.1435068046331,usd,24814.35068046331
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,88.15,6929182096,30,,26535274.0,88.6,79.22,8.86,11.18134,726204893.0,11.70736,78662766.8475242,78649599.0089557,,97.75,-9.88574,2021-11-21T12:39:57.508Z,1.89,4569.86922,2020-03-13T02:22:33.711Z,,2021-12-07T10:43:50.846Z,-0.025989799978473893,11.181337654283478,,,
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,4362.84,6708906696,31,6709114166.0,15775228.0,4383.28,3919.0,441.6,11.26167,698954368.0,11.62995,1538580.80356046,1538628.38358945,1538628.38358945,4829.57,-9.71345,2021-11-10T14:40:47.256Z,482.9,802.9793,2020-12-22T04:08:21.854Z,,2021-12-07T10:45:26.034Z,-0.0019276821293075536,11.261665632614507,,,
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.096698,6448357381,32,,536623660.0,0.097232,0.080511,0.01456671,17.73582,964392085.0,17.58567,66760741299.0,86712634466.0,,0.280991,-65.62558,2021-04-19T01:08:21.675Z,0.00191713,4938.20259,2020-03-13T02:29:59.652Z,,2021-12-07T10:44:19.909Z,-0.38739587401195735,17.73582277338267,6.691163325404899,eth,669.1163325404899
ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,44.39,6174629171,33,14857026342.0,177130918.0,44.58,40.16,3.74,9.20118,519051597.0,9.17769,139295691.31874424,335165027.385972,335165027.385972,84.18,-47.34285,2021-09-09T16:59:43.151Z,1.15,3755.56164,2019-09-06T00:00:00.000Z,,2021-12-07T10:45:20.091Z,-0.19200991246594634,9.201184583056683,,,
elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,306.04,6172836911,34,,244617464.0,310.88,264.97,37.15,13.8171,715069502.0,13.10187,20180291.0,20397843.0,,545.64,-43.92147,2021-11-23T10:33:26.737Z,6.51,4602.66636,2020-10-07T01:44:53.554Z,,2021-12-07T10:44:45.945Z,0.7809075561793953,13.817098897392238,,,
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,30.7,5631010999,35,14382121798.0,292945189.0,31.16,26.87,3.23,11.74999,605275148.0,12.04351,183710553.9,469213710.0,469213710.0,700.65,-95.62191,2021-05-10T16:05:53.653Z,24.29,26.28224,2021-12-04T05:33:43.785Z,,2021-12-07T10:44:51.020Z,-0.2901274527790982,11.749986584846713,,,
decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,4.01,5340140315,36,8826517606.0,1467512022.0,4.08,3.25,0.714163,21.64456,926353323.0,20.98772,1327372145.9864838,2193963627.32015,2193963627.32015,5.85,-31.23884,2021-11-25T10:04:18.534Z,0.00923681,43455.00367,2017-10-31T00:00:00.000Z,,2021-12-07T10:44:54.562Z,-1.080139903135265,21.64456133585842,199.68339938262474,usd,19968.339938262474
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,39.73,5324502135,37,78182246886.0,651078281.0,39.76,35.66,3.24,8.88907,506288784.0,10.50781,134237709.0,1971077378.0,1971077378.0,236.84,-83.23292,2021-04-01T13:29:41.564Z,20.06,97.96609,2020-12-29T22:32:28.483Z,,2021-12-07T10:45:08.959Z,0.2900391272966659,8.889071742986784,,,
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.286664,5238296383,38,,76160349.0,0.288767,0.240267,0.04074595,16.5689,727925525.0,16.13893,18287622674.0,50000000000.0,,0.569229,-49.6794,2021-09-15T10:40:28.318Z,0.00986111,2804.73818,2020-01-02T17:30:24.852Z,,2021-12-07T10:44:46.635Z,0.5337648059066632,16.56889877771885,,,
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,39.81,5205111084,39,8341889143.0,1124937330.0,40.01,35.31,4.16,11.66835,530214921.0,11.34175,131471047.693045,210700000.0,210700000.0,167.09,-76.30368,2021-05-06T18:34:22.133Z,0.615038,6337.5031,2016-07-25T00:00:00.000Z,,2021-12-07T10:46:00.352Z,0.2049169615087948,11.66835018953614,87.45943936879567,usd,8745.943936879567
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,5.61,5124202583,40,16830745822.0,1335671122.0,5.75,4.79,0.688223,13.99041,672367140.0,15.10314,913364619.2233225,3000000000.0,3000000000.0,8.4,-33.18584,2021-11-25T06:04:40.957Z,0.02897764,19260.61336,2020-11-04T15:59:14.441Z,,2021-12-07T10:45:42.745Z,-0.4241009025329496,13.990407202129804,,,
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,4.85,4847473226,41,,224497438.0,4.89,4.18,0.612493,14.44338,609325435.0,14.37716,1000000000.0,1000000000.0,,15.72,-69.1631,2021-04-16T13:15:11.190Z,0.04039979,11898.75711,2020-03-13T02:24:16.483Z,,2021-12-07T10:46:10.233Z,-0.23308001913161835,14.443379486042558,31.354284880072555,usd,3135.4284880072555
cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02176489,4662643030,42,,25892893.0,0.02203604,0.02152889,5.609e-05,0.25837,-14765457.576441765,-0.31568,214308752204.863,214320646732.62,,0.03159087,-31.12264,2020-10-12T21:29:00.007Z,0.00728854,198.5364,2020-03-18T04:29:40.819Z,,2021-12-07T10:45:15.706Z,0.15709370641605208,0.2583688158114078,,,
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,1.69,4267071511,43,5331419824.0,678946550.0,1.7,1.37,0.319947,23.3353,794475074.0,22.87842,2541152731.01,3175000000.0,3175000000.0,3.46,-51.1433,2021-10-28T05:19:39.845Z,0.00190227,88727.82302,2020-03-13T02:25:38.280Z,,2021-12-07T10:44:23.251Z,-0.3696170378629364,23.335304347487085,55.36781725558893,usd,5536.781725558893
near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,7.4,4224042392,44,7394458622.0,169384917.0,7.48,6.66,0.610324,8.98696,333902084.0,8.58329,571244307.108182,1000000000.0,1000000000.0,13.2,-43.92456,2021-10-26T13:09:48.238Z,0.526762,1304.92833,2020-11-04T16:09:15.137Z,,2021-12-07T10:44:38.830Z,-0.6376475043335893,8.986961982094481,,,
gala,gala,Gala,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,0.508274,3830900746,45,25395442407.0,1143728225.0,0.532914,0.42871,0.07296,16.76042,509906671.0,15.35404,7542496572.319239,36302990153.0539,50000000000.0,0.824837,-38.39236,2021-11-26T01:03:48.731Z,0.00013475,377016.78801,2020-12-28T08:46:48.367Z,,2021-12-07T10:44:44.508Z,1.1755652984864693,16.760419602986794,,,
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02240765,3768299797,46,,16087101.0,0.02266766,0.02216307,6.18e-05,0.27655,-77430831.39038372,-2.01342,168285104895.567,168284630857.93,,0.058843,-61.93473,2020-10-21T11:24:27.820Z,0.00620705,260.86207,2021-03-04T08:11:37.438Z,,2021-12-07T10:45:14.159Z,0.15877920343784396,0.27654823510725485,,,
magic-internet-money,mim,Magic Internet Money,https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612,1.0,3712371959,47,,431879386.0,1.02,0.992173,0.00160043,0.16021,5194371.0,0.14012,3719652207.24997,3719652207.24997,,1.04,-3.93789,2021-10-06T13:25:17.751Z,0.919196,8.79718,2021-12-04T05:29:56.806Z,,2021-12-07T10:45:28.155Z,-0.01950485432817486,0.16020585570171225,,,
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,203.63,3669745240,48,,145916184.0,204.32,186.61,14.39,7.60532,254284987.0,7.44512,18042056.4117022,,,542.33,-62.48885,2018-01-09T00:00:00.000Z,0.216177,94004.77361,2015-01-14T00:00:00.000Z,,2021-12-07T10:45:44.644Z,-0.09375170762742276,7.605323640197701,,,
bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.00390712,3644156457,49,,3643059827.0,0.00396178,0.00233601,0.00154387,65.32798,1437714248.0,65.15984,932497500000.0,990000000000.0,,0.01356626,-71.24091,2021-04-05T04:09:06.433Z,0.00013814,2724.27488,2020-03-13T02:22:57.629Z,,2021-12-07T10:44:30.930Z,1.2101820165294321,65.32798486478502,31.559355680958593,usd,3155.9355680958593
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,4.2,3636067304,50,,203602590.0,4.25,3.75,0.424202,11.22571,347546436.0,10.56847,868961131.58003,,,9.12,-54.09879,2021-10-04T00:41:18.025Z,0.350476,1093.91466,2018-12-07T00:00:00.000Z,,2021-12-07T10:45:10.764Z,0.37269332001974165,11.225713686189529,7.9426376832296235,usd,794.2637683229624
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.717565,3552446204,51,7166748281.0,146963958.0,0.724482,0.608835,0.098362,15.88534,476690742.0,15.49833,4956845231.0,10000000000.0,10000000000.0,2.84,-74.76179,2021-02-12T07:28:45.775Z,0.103254,594.54236,2020-12-17T21:28:41.332Z,,2021-12-07T10:45:22.468Z,-0.06257603315449128,15.885336029153033,,,
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.37,3503456243,52,,27768959.0,1.37,1.19,0.167044,13.84732,427074620.0,13.88237,2551403388.8,,,4.34,-68.34989,2021-03-30T03:44:28.828Z,0.06044,2172.13791,2020-04-29T08:19:34.574Z,,2021-12-07T10:44:22.549Z,0.6183117751110456,13.847320993317169,,,
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.67,3448180146,53,,1164060.0,3.7,3.47,-0.006709556535,-0.18261,139927.0,0.00406,939999433.9,985239504.0,,3.95,-7.01747,2021-05-14T13:54:31.192Z,0.799859,358.6156,2019-12-24T15:14:35.376Z,,2021-12-07T10:43:42.254Z,-0.4558538232545909,-0.18260538309011273,,,
helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,33.59,3370478076,54,7475844247.0,30360750.0,33.66,28.45,3.91,13.18522,405996617.0,13.69537,100539361.984279,223000000.0,223000000.0,54.88,-38.91076,2021-11-12T23:08:25.301Z,0.113248,29502.34811,2020-04-18T00:19:10.902Z,,2021-12-07T10:45:18.876Z,0.3147959860082121,13.185223220944161,,,
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.21,3347397174,55,,66822287.0,1.22,1.03,0.147628,13.911,397236648.0,13.46492,2779530283.277761,2779530283.0,,5.25,-77.05556,2017-12-19T00:00:00.000Z,0.081637,1375.18611,2020-03-13T02:22:41.168Z,,2021-12-07T10:44:24.377Z,-0.0734280712728777,13.910998119301144,16.599393084504612,btc,1659.939308450461
loopring,lrc,Loopring,https://assets.coingecko.com/coins/images/913/large/LRC.png?1572852344,2.58,3215200134,56,3546843917.0,1013656101.0,2.58,1.81,0.722382,38.78591,894521358.0,38.54568,1245991468.94246,1373873440.44246,1374513896.0,3.75,-31.19408,2021-11-10T14:59:53.164Z,0.01963893,13037.7456,2019-12-18T13:14:41.553Z,,2021-12-07T10:46:04.923Z,1.6709388365811915,38.785908127310385,42.08111834784636,usd,4208.111834784637
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,10.19,3202761983,57,,99835773.0,10.34,8.68,1.49,17.09319,472965504.0,17.32604,314343134.0,1391836785.92247,,42.4,-75.96764,2021-04-05T13:49:10.098Z,4.95,105.83916,2021-01-27T15:34:04.000Z,,2021-12-07T10:44:32.162Z,-0.4620488184916173,17.09318547420188,,,
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,3.26,3176314929,58,,1072873308.0,3.31,2.83,0.38807,13.49534,374544551.0,13.36814,976518517.9345,,,22.71,-85.67639,2018-04-29T07:50:33.540Z,0.5024,547.50687,2017-10-23T00:00:00.000Z,,2021-12-07T10:46:05.733Z,0.03043847774210773,13.495338945943972,2.2966229542179546,usd,229.66229542179545
radix,xrd,Radix,https://assets.coingecko.com/coins/images/4374/large/Radix.png?1629701658,0.317661,3088122241,59,7634514682.0,3032401.0,0.328677,0.262233,0.04458457,16.32676,462706295.0,17.62411,9707877564.7477,12107877564.7477,24000000000.0,0.651264,-51.18668,2021-11-14T16:09:27.130Z,0.086235,268.64668,2021-09-13T04:50:07.104Z,,2021-12-07T10:45:23.497Z,-2.8697213311500613,16.32675601575553,,,
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,12.43,3059641452,60,,177985492.0,12.45,11.15,0.979561,8.55833,115110965.0,3.90931,246816467.929557,,,43.96,-71.80363,2021-04-30T10:08:22.934Z,0.194441,6275.43173,2020-11-03T14:29:34.165Z,,2021-12-07T10:45:38.686Z,0.027523262210287256,8.55833166006663,,,
olympus,ohm,Olympus,https://assets.coingecko.com/coins/images/14483/large/token_OHM_%281%29.png?1628311611,533.56,3006978242,61,3521962614.0,130302572.0,572.43,514.21,10.2,1.94934,94060973.0,3.2291,5640137.696284543,6606085.08023194,6606085.08023194,1415.26,-62.31384,2021-04-25T00:00:00.000Z,162.79,227.63636,2021-05-23T22:25:07.703Z,,2021-12-07T10:45:28.082Z,-0.37981816168370225,1.9493409746022488,,,
bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,150.27,2837685835,62,,751918813.0,153.73,113.64,35.57,31.01241,671198677.0,30.98097,18917251.644239,21000000.0,,489.75,-69.37097,2021-04-16T17:09:04.630Z,42.02,257.00985,2018-11-23T00:00:00.000Z,,2021-12-07T10:45:42.960Z,-0.10544011365021198,31.012414445915915,,,
