id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi_times,roi_currency,roi_percentage
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,4.0,3636067304,50,,203602590.0,4.0,4.0,0.0,11.0,347546436.0,11.0,868961132.0,,,9.0,-54.0,2021-10-04T00:41:18.025Z,0.0,1094.0,2018-12-07T00:00:00.000Z,,2021-12-07T10:45:10.764Z,0.0,11.0,7.9426376832296235,usd,794.2637683229624
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,1.0,3552446204,51,7166748281.0,146963958.0,1.0,1.0,0.0,16.0,476690742.0,15.0,4956845231.0,10000000000.0,10000000000.0,3.0,-75.0,2021-02-12T07:28:45.775Z,0.0,595.0,2020-12-17T21:28:41.332Z,,2021-12-07T10:45:22.468Z,0.0,16.0,,,
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,6.0,5124202583,40,16830745822.0,1335671122.0,6.0,5.0,1.0,14.0,672367140.0,15.0,913364619.0,3000000000.0,3000000000.0,8.0,-33.0,2021-11-25T06:04:40.957Z,0.0,19261.0,2020-11-04T15:59:14.441Z,,2021-12-07T10:45:42.745Z,0.0,14.0,,,
theta-fuel,tfuel,Theta Fuel,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,0.0,1886178774,81,,77043655.0,0.0,0.0,0.0,16.0,49552231.0,3.0,0.0,5301200000.0,,1.0,-61.0,2021-06-09T06:50:55.818Z,0.0,28877.0,2020-03-13T02:30:37.972Z,,2021-12-07T10:44:55.922Z,0.0,16.0,,,
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,5.0,4847473226,41,,224497438.0,5.0,4.0,1.0,14.0,609325435.0,14.0,1000000000.0,1000000000.0,,16.0,-69.0,2021-04-16T13:15:11.190Z,0.0,11899.0,2020-03-13T02:24:16.483Z,,2021-12-07T10:46:10.233Z,0.0,14.0,31.354284880072555,usd,3135.4284880072555
thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,8.0,2250293432,73,3794226456.0,97771107.0,8.0,7.0,1.0,13.0,227024132.0,11.0,296541793.0,500000000.0,500000000.0,21.0,-63.0,2021-05-19T00:30:09.436Z,0.0,90156.0,2019-09-28T00:00:00.000Z,,2021-12-07T10:44:40.647Z,2.0,13.0,202.13315447379014,usd,20213.315447379013
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.0,9257017858,21,,1978256870.0,0.0,0.0,0.0,14.0,1100666990.0,13.0,101895989759.0,101900409184.273,,0.0,-61.0,2018-01-05T00:00:00.000Z,0.0,4939.0,2017-11-12T00:00:00.000Z,,2021-12-07T10:44:25.253Z,0.0,14.0,46.880713657723945,usd,4688.0713657723945
true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,1.0,1290550315,97,,191729573.0,1.0,1.0,0.0,0.0,29219555.0,2.0,1291115466.0,1290608184.12673,,2.0,-38.0,2018-08-26T20:41:09.375Z,1.0,13.0,2020-03-12T10:47:51.380Z,,2021-12-07T10:44:51.712Z,0.0,0.0,,,
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,18.0,7935108735,25,17518230013.0,290357925.0,18.0,15.0,2.0,14.0,951749343.0,14.0,452962927.0,1000000000.0,1000000000.0,45.0,-61.0,2021-05-03T05:25:04.822Z,1.0,1602.0,2020-09-17T01:20:38.214Z,,2021-12-07T10:45:19.780Z,0.0,14.0,,,
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,40807856212,7,,4699391479.0,1.0,1.0,0.0,0.0,222883209.0,1.0,40815012872.0,40815012512.7247,,1.0,-15.0,2019-05-08T00:40:28.300Z,1.0,12.0,2021-05-19T13:14:05.611Z,,2021-12-07T10:45:50.791Z,0.0,0.0,,,
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.0,6448357381,32,,536623660.0,0.0,0.0,0.0,18.0,964392085.0,18.0,66760741299.0,86712634466.0,,0.0,-66.0,2021-04-19T01:08:21.675Z,0.0,4938.0,2020-03-13T02:29:59.652Z,,2021-12-07T10:44:19.909Z,0.0,18.0,6.691163325404899,eth,669.1163325404899
waves,waves,Waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,20.0,1978376120,79,,136299526.0,21.0,19.0,-1.0,-4.0,-46398584.0,-2.0,100000000.0,100000000.0,,43.0,-54.0,2021-05-04T06:49:41.528Z,0.0,15016.0,2016-08-02T00:00:00.000Z,,2021-12-07T10:45:10.611Z,0.0,-4.0,104.3485092192007,usd,10434.85092192007
wonderland,time,Wonderland,https://assets.coingecko.com/coins/images/18126/large/time.PNG?1630621941,5972.0,1364973186,94,,95024314.0,6065.0,5040.0,744.0,14.0,171154291.0,14.0,228575.0,228574.54315,,10064.0,-41.0,2021-11-07T19:15:45.691Z,548.0,989.0,2021-09-02T23:16:06.662Z,,2021-12-07T10:44:53.115Z,0.0,14.0,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,51276.0,13153659722,17,13153659722.0,452173595.0,51426.0,47378.0,3796.0,8.0,977878158.0,8.0,256690.0,256689.84405604,256689.84405604,70643.0,-27.0,2021-11-10T14:40:19.650Z,3139.0,1532.0,2019-04-02T00:00:00.000Z,,2021-12-07T10:45:38.507Z,0.0,8.0,,,
zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,184.0,2183915911,74,3862413107.0,538485906.0,185.0,162.0,17.0,10.0,204080756.0,10.0,11873985.0,21000000.0,21000000.0,3192.0,-94.0,2016-10-29T00:00:00.000Z,20.0,831.0,2020-03-13T02:20:55.002Z,,2021-12-07T10:44:12.031Z,0.0,10.0,,,
