id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi_times,roi_currency,roi_percentage
ecomi,omi,ECOMI,https://assets.coingecko.com/coins/images/4428/large/ECOMI.png?1557928886,0.0,1289074673,98,,9767307.0,0.0,0.0,0.0,11.0,120070745.0,10.0,237689829875.0,750000000000.0,,0.0,-60.0,2021-03-19T17:20:53.999Z,0.0,160785.0,2019-11-04T10:52:42.729Z,,2021-12-07T10:42:46.299Z,1.0,11.0,9.66070686807157,btc,966.070686807157
elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,306.0,6172836911,34,,244617464.0,311.0,265.0,37.0,14.0,715069502.0,13.0,20180291.0,20397843.0,,546.0,-44.0,2021-11-23T10:33:26.737Z,7.0,4603.0,2020-10-07T01:44:53.554Z,,2021-12-07T10:44:45.945Z,1.0,14.0,,,
enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,3.0,2753088891,63,2946557942.0,346171688.0,3.0,2.0,1.0,22.0,491821997.0,22.0,934340660.0,1000000000.0,1000000000.0,5.0,-39.0,2021-11-25T09:53:41.955Z,0.0,15691.0,2017-11-12T00:00:00.000Z,,2021-12-07T10:44:31.556Z,-1.0,22.0,,,
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,3.0,3176314929,58,,1072873308.0,3.0,3.0,0.0,13.0,374544551.0,13.0,976518518.0,,,23.0,-86.0,2018-04-29T07:50:33.540Z,1.0,548.0,2017-10-23T00:00:00.000Z,,2021-12-07T10:46:05.733Z,0.0,13.0,2.2966229542179546,usd,229.66229542179545
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,4403.0,521758846243,2,,27773679801.0,4422.0,3948.0,447.0,11.0,53037857025.0,11.0,118640441.0,,,4878.0,-10.0,2021-11-10T14:24:19.604Z,0.0,1015612.0,2015-10-20T00:00:00.000Z,,2021-12-07T10:44:31.416Z,0.0,11.0,113.84174043915989,btc,11384.17404391599
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,40.0,5205111084,39,8341889143.0,1124937330.0,40.0,35.0,4.0,12.0,530214921.0,11.0,131471048.0,210700000.0,210700000.0,167.0,-76.0,2021-05-06T18:34:22.133Z,1.0,6338.0,2016-07-25T00:00:00.000Z,,2021-12-07T10:46:00.352Z,0.0,12.0,87.45943936879567,usd,8745.943936879567
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,2.0,4267071511,43,5331419824.0,678946550.0,2.0,1.0,0.0,23.0,794475074.0,23.0,2541152731.0,3175000000.0,3175000000.0,3.0,-51.0,2021-10-28T05:19:39.845Z,0.0,88728.0,2020-03-13T02:25:38.280Z,,2021-12-07T10:44:23.251Z,0.0,23.0,55.36781725558893,usd,5536.781725558893
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,40.0,5324502135,37,78182246886.0,651078281.0,40.0,36.0,3.0,9.0,506288784.0,11.0,134237709.0,1971077378.0,1971077378.0,237.0,-83.0,2021-04-01T13:29:41.564Z,20.0,98.0,2020-12-29T22:32:28.483Z,,2021-12-07T10:45:08.959Z,0.0,9.0,,,
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,10.0,3202761983,57,,99835773.0,10.0,9.0,1.0,17.0,472965504.0,17.0,314343134.0,1391836785.92247,,42.0,-76.0,2021-04-05T13:49:10.098Z,5.0,106.0,2021-01-27T15:34:04.000Z,,2021-12-07T10:44:32.162Z,0.0,17.0,,,
frax,frax,Frax,https://assets.coingecko.com/coins/images/13422/large/frax_logo.png?1608476506,1.0,1301510206,95,1301510206.0,37580987.0,1.0,1.0,0.0,1.0,23250034.0,2.0,1288574682.0,1288574681.90788,1288574681.90788,1.0,-11.0,2021-02-07T12:55:35.766Z,1.0,13.0,2021-12-04T05:33:57.315Z,,2021-12-07T10:44:32.433Z,0.0,1.0,,,
ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,44.0,6174629171,33,14857026342.0,177130918.0,45.0,40.0,4.0,9.0,519051597.0,9.0,139295691.0,335165027.385972,335165027.385972,84.0,-47.0,2021-09-09T16:59:43.151Z,1.0,3756.0,2019-09-06T00:00:00.000Z,,2021-12-07T10:45:20.091Z,0.0,9.0,,,
gala,gala,Gala,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,1.0,3830900746,45,25395442407.0,1143728225.0,1.0,0.0,0.0,17.0,509906671.0,15.0,7542496572.0,36302990153.0539,50000000000.0,1.0,-38.0,2021-11-26T01:03:48.731Z,0.0,377017.0,2020-12-28T08:46:48.367Z,,2021-12-07T10:44:44.508Z,1.0,17.0,,,
harmony,one,Harmony,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793,0.0,2252289681,72,2586110301.0,124435818.0,0.0,0.0,0.0,21.0,399089044.0,22.0,11457834583.0,13156044839.793139,13156044839.793139,0.0,-48.0,2021-10-26T09:28:49.782Z,0.0,15376.0,2020-03-13T02:24:14.005Z,,2021-12-07T10:44:52.910Z,2.0,21.0,61.10353555443613,usd,6110.353555443613
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.0,5238296383,38,,76160349.0,0.0,0.0,0.0,17.0,727925525.0,16.0,18287622674.0,50000000000.0,,1.0,-50.0,2021-09-15T10:40:28.318Z,0.0,2805.0,2020-01-02T17:30:24.852Z,,2021-12-07T10:44:46.635Z,1.0,17.0,,,
helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,34.0,3370478076,54,7475844247.0,30360750.0,34.0,28.0,4.0,13.0,405996617.0,14.0,100539362.0,223000000.0,223000000.0,55.0,-39.0,2021-11-12T23:08:25.301Z,0.0,29502.0,2020-04-18T00:19:10.902Z,,2021-12-07T10:45:18.876Z,0.0,13.0,,,
holotoken,hot,Holo,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,0.0,1848736065,82,,279532185.0,0.0,0.0,0.0,21.0,316146773.0,21.0,177619433541.0,177619433541.141,,0.0,-67.0,2021-04-05T16:04:52.608Z,0.0,4627.0,2020-03-13T02:23:01.612Z,,2021-12-07T10:44:53.618Z,-1.0,21.0,9.43804011244581,eth,943.804011244581
huobi-btc,hbtc,Huobi BTC,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,50997.0,2033303593,77,2033303593.0,353087.0,51155.0,47575.0,3286.0,7.0,129878158.0,7.0,39884.0,39884.082204742,39884.082204742,69325.0,-26.0,2021-05-10T02:33:06.038Z,11209.0,355.0,2020-10-12T03:56:16.768Z,,2021-12-07T10:43:46.287Z,0.0,7.0,,,
huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,9.0,1376741591,93,4320990464.0,113075311.0,9.0,9.0,0.0,0.0,-5234150.0,0.0,159308566.0,500000000.0,500000000.0,40.0,-78.0,2021-05-12T14:42:21.586Z,1.0,852.0,2019-01-30T00:00:00.000Z,,2021-12-07T10:44:12.511Z,-1.0,0.0,7.74907392602087,usd,774.9073926020869
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,31.0,5631010999,35,14382121798.0,292945189.0,31.0,27.0,3.0,12.0,605275148.0,12.0,183710554.0,469213710.0,469213710.0,701.0,-96.0,2021-05-10T16:05:53.653Z,24.0,26.0,2021-12-04T05:33:43.785Z,,2021-12-07T10:44:51.020Z,0.0,12.0,,,
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.0,3347397174,55,,66822287.0,1.0,1.0,0.0,14.0,397236648.0,13.0,2779530283.0,2779530283.0,,5.0,-77.0,2017-12-19T00:00:00.000Z,0.0,1375.0,2020-03-13T02:22:41.168Z,,2021-12-07T10:44:24.377Z,0.0,14.0,16.599393084504612,btc,1659.939308450461
kadena,kda,Kadena,https://assets.coingecko.com/coins/images/3693/large/djLWD6mR_400x400.jpg?1591080616,12.0,1931464423,80,11997688134.0,84003193.0,13.0,9.0,3.0,28.0,416675356.0,28.0,160986383.0,1000000000.0,1000000000.0,28.0,-57.0,2021-11-11T13:22:45.731Z,0.0,18136.0,2020-03-13T02:00:28.582Z,,2021-12-07T10:40:18.649Z,-3.0,28.0,11.00137344998236,usd,1100.137344998236
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.0,3503456243,52,,27768959.0,1.0,1.0,0.0,14.0,427074620.0,14.0,2551403389.0,,,4.0,-68.0,2021-03-30T03:44:28.828Z,0.0,2172.0,2020-04-29T08:19:34.574Z,,2021-12-07T10:44:22.549Z,1.0,14.0,,,
kucoin-shares,kcs,KuCoin Token,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1610678720,22.0,1724744495,84,,45369227.0,23.0,19.0,2.0,10.0,155336838.0,10.0,77073331.0,167073331.0,,29.0,-22.0,2021-12-01T15:09:35.541Z,0.0,6427.0,2019-02-07T00:00:00.000Z,,2021-12-07T10:42:52.226Z,0.0,10.0,,,
kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,299.0,2679846910,64,2984206729.0,101789441.0,301.0,258.0,38.0,14.0,331266580.0,14.0,8980098.0,10000000.0,10000000.0,622.0,-52.0,2021-05-18T05:04:41.858Z,1.0,33944.0,2020-01-14T19:20:20.768Z,,2021-12-07T10:45:35.543Z,0.0,14.0,,,
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,4.0,3448180146,53,,1164060.0,4.0,3.0,0.0,0.0,139927.0,0.0,939999434.0,985239504.0,,4.0,-7.0,2021-05-14T13:54:31.192Z,1.0,359.0,2019-12-24T15:14:35.376Z,,2021-12-07T10:43:42.254Z,0.0,0.0,,,
link,ln,LINK,https://assets.coingecko.com/coins/images/6450/large/linklogo.png?1547042644,267.0,1588719595,85,,12870132.0,266.0,204.0,58.0,28.0,337506828.0,27.0,5976007.0,6045959.0,,346.0,-23.0,2021-04-01T22:19:00.034Z,1.0,25099.0,2018-12-26T00:00:00.000Z,,2021-12-07T10:44:14.208Z,2.0,28.0,,,
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,161.0,11096691378,19,13482520341.0,1485665120.0,164.0,142.0,18.0,13.0,1214569068.0,12.0,69135596.0,84000000.0,84000000.0,410.0,-61.0,2021-05-10T03:13:07.904Z,1.0,13871.0,2015-01-14T00:00:00.000Z,,2021-12-07T10:46:06.116Z,0.0,13.0,,,
loopring,lrc,Loopring,https://assets.coingecko.com/coins/images/913/large/LRC.png?1572852344,3.0,3215200134,56,3546843917.0,1013656101.0,3.0,2.0,1.0,39.0,894521358.0,39.0,1245991469.0,1373873440.44246,1374513896.0,4.0,-31.0,2021-11-10T14:59:53.164Z,0.0,13038.0,2019-12-18T13:14:41.553Z,,2021-12-07T10:46:04.923Z,2.0,39.0,42.08111834784636,usd,4208.111834784637
magic-internet-money,mim,Magic Internet Money,https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612,1.0,3712371959,47,,431879386.0,1.0,1.0,0.0,0.0,5194371.0,0.0,3719652207.0,3719652207.24997,,1.0,-4.0,2021-10-06T13:25:17.751Z,1.0,9.0,2021-12-04T05:29:56.806Z,,2021-12-07T10:45:28.155Z,0.0,0.0,,,
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,2644.0,2375430720,69,2650226877.0,76491959.0,2645.0,2373.0,220.0,9.0,189358313.0,9.0,901311.0,988873.563988944,1005577.0,6292.0,-58.0,2021-05-03T21:54:29.333Z,168.0,1465.0,2020-03-16T20:52:36.527Z,,2021-12-07T10:45:13.024Z,0.0,9.0,,,
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,2.0,15862037527,15,23079137230.0,4403992699.0,2.0,2.0,1.0,30.0,3681235200.0,30.0,6872890164.0,10000000000.0,10000000000.0,3.0,-12.0,2021-05-18T19:38:18.813Z,0.0,73304.0,2019-05-10T00:00:00.000Z,,2021-12-07T10:46:13.960Z,-1.0,30.0,878.7209387476547,usd,87872.09387476547
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,204.0,3669745240,48,,145916184.0,204.0,187.0,14.0,8.0,254284987.0,7.0,18042056.0,,,542.0,-62.0,2018-01-09T00:00:00.000Z,0.0,94005.0,2015-01-14T00:00:00.000Z,,2021-12-07T10:45:44.644Z,0.0,8.0,,,
msol,msol,Marinade staked SOL,https://assets.coingecko.com/coins/images/17752/large/PJ7Scn3.png?1629175951,205.0,1395589664,92,1395602864.0,120814164.0,207.0,183.0,22.0,12.0,151369648.0,12.0,6796271.0,6796335.25191528,6796335.25191528,3542.0,-94.0,2021-08-23T22:16:35.076Z,42.0,384.0,2021-08-30T10:27:09.425Z,,2021-12-07T10:45:18.869Z,-1.0,12.0,,,
near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,7.0,4224042392,44,7394458622.0,169384917.0,7.0,7.0,1.0,9.0,333902084.0,9.0,571244307.0,1000000000.0,1000000000.0,13.0,-44.0,2021-10-26T13:09:48.238Z,1.0,1305.0,2020-11-04T16:09:15.137Z,,2021-12-07T10:44:38.830Z,-1.0,9.0,,,
neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,30.0,2113184894,75,,216244276.0,30.0,26.0,4.0,14.0,252148810.0,14.0,70530000.0,100000000.0,,198.0,-85.0,2018-01-15T00:00:00.000Z,0.0,38267.0,2016-10-21T00:00:00.000Z,,2021-12-07T10:45:46.962Z,1.0,14.0,837.3288966041245,usd,83732.88966041245
nexo,nexo,NEXO,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057,3.0,1416960592,89,2530286726.0,28326439.0,3.0,2.0,1.0,26.0,294286103.0,26.0,560000010.0,1000000000.0,1000000000.0,4.0,-38.0,2021-05-12T14:37:47.535Z,0.0,5506.0,2018-09-13T00:00:00.000Z,,2021-12-07T10:45:35.545Z,-1.0,26.0,24.35157885179392,usd,2435.157885179392
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,27.0,7138474759,28,,925219453.0,28.0,24.0,2.0,9.0,647594338.0,10.0,262680011.0,300000000.0,,44.0,-38.0,2021-05-03T01:03:16.108Z,1.0,4581.0,2019-01-14T00:00:00.000Z,,2021-12-07T10:44:52.277Z,-1.0,9.0,,,
